product_id,product_name,category,segment,size,color,price,cogs
536,SaigonFlex UC-01,Streetwear,Everyday,S,green,11059.65,9704.842875
537,SaigonFlex UC-02,Streetwear,Everyday,M,silver,9523.076013,5393.870254
538,SaigonFlex UC-03,Streetwear,Everyday,L,pink,15951.63316,11371.91928
539,SaigonFlex UC-04,Streetwear,Everyday,XL,yellow,15753.7173,8573.172954
540,SaigonFlex UC-05,Streetwear,Everyday,S,red,15766.33454,14063.57041
541,SaigonFlex UC-06,Streetwear,Everyday,M,black,16095.85385,15291.06115
542,SaigonFlex UC-07,Streetwear,Everyday,L,orange,9213.817742,6152.066106
543,SaigonFlex UC-08,Streetwear,Everyday,XL,blue,40.39417782,22.48774772
544,SaigonFlex UC-09,Streetwear,Everyday,S,white,11334.10645,8528.915105
545,SaigonFlex UC-10,Streetwear,Everyday,M,purple,10045.67841,9091.338962
546,SaigonFlex UC-11,Streetwear,Everyday,L,green,16066.11563,13338.08919
547,SaigonFlex UC-12,Streetwear,Everyday,XL,silver,6544.421471,4298.376022
548,SaigonFlex UC-13,Streetwear,Everyday,S,pink,6163.409553,4883.88573
549,SaigonFlex UC-14,Streetwear,Everyday,M,yellow,6655.753058,5205.464466
550,SaigonFlex UC-15,Streetwear,Everyday,L,red,5184.624222,3404.742726
551,SaigonFlex UC-16,Streetwear,Everyday,XL,black,11245.40662,10683.13629
552,SaigonFlex UC-17,Streetwear,Everyday,S,orange,11588.85,11009.4075
553,SaigonFlex UC-18,Streetwear,Everyday,M,blue,11516.61724,9748.816495
554,SaigonFlex UC-19,Streetwear,Everyday,L,white,10501.44709,6426.88562
555,SaigonFlex UC-20,Streetwear,Everyday,XL,purple,10520.479,9994.455047
556,SaigonFlex UC-21,Streetwear,Everyday,S,green,10268.64391,9686.411803
557,SaigonFlex UC-22,Streetwear,Everyday,M,silver,10090.4426,7554.714378
558,SaigonFlex UC-23,Streetwear,Everyday,L,pink,18269.37,14094.81896
559,SaigonFlex UC-24,Streetwear,Everyday,XL,yellow,7658.988224,6569.114199
560,SaigonFlex UC-25,Streetwear,Everyday,S,red,8428.274494,7354.512324
561,SaigonFlex UC-26,Streetwear,Everyday,M,black,8951.67,7753.936554
